"Instructional Specialist, Deaf and Hard of Hearing ","Alhambra School District"
"Instructional Specialist, Learning Handicapped","Alhambra School District"
"Instructional Specialist, Speech-Language","Alhambra School District"
"Instructional Specialist, Substance Abuse Prevention Programs","Alhambra School District"
"Learning Specialist","Alhambra School District"
"Psychologist Intern","Alhambra School District"
"School Community Coordinator","Alhambra School District"
"School Nurse","Alhambra School District"
"School Psychologist","Alhambra School District"
"Secondary Teacher","Alhambra School District"
"Secretary II","Alhambra School District"
"Speech-Language Pathologist","Alhambra School District"
"Supervisor, Child Development Programs","Alhambra School District"
"Teacher - Orthopedically Handicapped","Alhambra School District"
"Assistant Principal - Junior High School","Anaheim Union High School District"
"Assistant Principal - Senior High School","Anaheim Union High School District"
"Classroom Teacher  ","Anaheim Union High School District"
"Cluster Nurse - Special Youth Services","Anaheim Union High School District"
"Coordinator, Health Services","Anaheim Union High School District"
"Director of Accounting","Anaheim Union High School District"
"Health Clerk","Anaheim Union High School District"
"Health Services Coordinator","Anaheim Union High School District"
"Health Services Technician I","Anaheim Union High School District"
"Health Services Technician II","Anaheim Union High School District"
"Health Services Technician III","Anaheim Union High School District"
"Nurse Practitioner","Anaheim Union High School District"
"Nurse Specialist","Anaheim Union High School District"
"Principal - Junior High School and Senior High School","Anaheim Union High School District"
"Program Specialist","Anaheim Union High School District"
Psychologist,"Anaheim Union High School District"
"School Community Liaison","Anaheim Union High School District"
"School Secretary - BL","Anaheim Union High School District"
"Secretary Clerk/Bilingual","Anaheim Union High School District"
"SELPA Regional Nurse","Anaheim Union High School District"
"Specialist - Physically Impaired","Anaheim Union High School District"
"Speech Specialist","Anaheim Union High School District"
"Transportation Dispatcher","Anaheim Union High School District"
"Vocational Education Counselor","Anaheim Union High School District"
"Assistant Superintendent Student Services","Antelope Valley Union High School District"
"Community Attendance Worker","Antelope Valley Union High School District"
"Coordinator Psychological Services","Antelope Valley Union High School District"
"Director Behavior Interventions/Student Services","Antelope Valley Union High School District"
"Director of Special Education ","Antelope Valley Union High School District"
"Director I Student Support & Educational Services","Antelope Valley Union High School District"
"Health Office Technician","Antelope Valley Union High School District"
"Lead Psychologist","Antelope Valley Union High School District"
"Nurse - Secondary","Antelope Valley Union High School District"
"Principal - Desert Pathways/Special Ed. Director","Antelope Valley Union High School District"
Psychologist,"Antelope Valley Union High School District"
"Pupil Services Program Specialist","Antelope Valley Union High School District"
"Speech Pathology Coordinator","Antelope Valley Union High School District"
"Vice Principal","Antelope Valley Union High School District"
"Account Clerk I","Azusa Unified School District"
"Account Clerk II","Azusa Unified School District"
"Accounting Supervisor","Azusa Unified School District"
"Community Liaison","Azusa Unified School District"
"Continuation School Assistant Principal","Azusa Unified School District"
"Coordinator - Child Welfare and Attendance","Azusa Unified School District"
"Coordinator - Child Welfare & Attendance","Azusa Unified School District"
"Dean of Activities and Athletics","Azusa Unified School District"
"Director of Fiscal Services","Azusa Unified School District"
"Director - Pupil Personnel Services","Azusa Unified School District"
"District Psychologist/School Psychologist","Azusa Unified School District"
"Guidance Program Coordinator","Azusa Unified School District"
"Health Aide","Azusa Unified School District"
"Healthy Start Program Coordinator","Azusa Unified School District"
"High School Assistant Principal","Azusa Unified School District"
"High School Counselor","Azusa Unified School District"
"Instructional Aide","Azusa Unified School District"
"Medical Doctor (on contract) ","Azusa Unified School District"
"Middle School Assistant Principal","Azusa Unified School District"
"Middle School Counselor","Azusa Unified School District"
"Nurse ","Azusa Unified School District"
"Outreach Coordinator","Azusa Unified School District"
"Paraeducator III","Azusa Unified School District"
"Principal High School Continuation and Alternative Programs","Azusa Unified School District"
"Principal K-12","Azusa Unified School District"
"Pupil Services Technician","Azusa Unified School District"
"School Nurse Practitioner","Azusa Unified School District"
"Search Program Coordinator","Azusa Unified School District"
"Senior Director, Pupil Personnel Services","Azusa Unified School District"
"Sp. Ed. Designated Instructional, Svc. Career/Transition Teacher","Azusa Unified School District"
"Special Education Coordinator","Azusa Unified School District"
"Special Education Teacher","Azusa Unified School District"
"Speech Pathologist","Azusa Unified School District"
Translator,"Azusa Unified School District"
"Visually Impaired Classroom Teacher","Azusa Unified School District"
"Assistant Principal","Baldwin Park USD"
"Assistant Superintendent, Student Achievement","Baldwin Park USD"
"Categorical Resource Teacher","Baldwin Park USD"
"Clerk Typist II","Baldwin Park USD"
"Coordinator of Special Education","Baldwin Park USD"
"Counselor - High School","Baldwin Park USD"
"Counselor - Middle/Junior High School","Baldwin Park USD"
"Health Clerk","Baldwin Park USD"
Principal,"Baldwin Park USD"
"School Community Liaison","Baldwin Park USD"
"School Nurse","Baldwin Park USD"
"School Psychologist","Baldwin Park USD"
"School Secretary I","Baldwin Park USD"
"Secretary II","Baldwin Park USD"
"Senior Director of Business Services","Baldwin Park USD"
"Senior Director of Fiscal Services","Baldwin Park USD"
"Speech-Language Pathologist","Baldwin Park USD"
"Supervisor - Health Services","Baldwin Park USD"
"Alternative Education Outreach Consultant","Banning Unified School District"
"Bilingual Clerk","Banning Unified School District"
"Clerk  ","Banning Unified School District"
Counselor,"Banning Unified School District"
"Director of Curriculum, Instruction and Assessment","Banning Unified School District"
"Director of Student Services/Special Ed.","Banning Unified School District"
"District Nurse","Banning Unified School District"
"Elementary Principal","Banning Unified School District"
"Elementary Principal's Secretary","Banning Unified School District"
"Health Aide","Banning Unified School District"
"Healthy Start Project Coordinator","Banning Unified School District"
"High School Assistant Principal's Secretary","Banning Unified School District"
"High School Principal's Secretary","Banning Unified School District"
"Occupational Therapist","Banning Unified School District"
"Outreach Assistant","Banning Unified School District"
"Principal - High School","Banning Unified School District"
Registrar/Secretary,"Banning Unified School District"
"Resource Teacher","Banning Unified School District"
"School Psychologist","Banning Unified School District"
"Special Education Instructional Aide I","Banning Unified School District"
"Speech and Language Specialist","Banning Unified School District"
"Speech Language Pathologist","Banning Unified School District"
"Staff Secretary","Banning Unified School District"
"Student Assistance Program Coordinator","Banning Unified School District"
"Student Support Coordinator","Banning Unified School District"
"Teacher on Assignment","Banning Unified School District"
"Accounting Technician I","Bassett Unified School District"
"Athletic Trainer","Bassett Unified School District"
"Attendance Technician","Bassett Unified School District"
"Clerical Assistant II","Bassett Unified School District"
"Coordinator of Health Services ","Bassett Unified School District"
"Educational Psychologist","Bassett Unified School District"
"Elementary Principal","Bassett Unified School District"
"Elementary Teacher (K-8)","Bassett Unified School District"
"Guidance Technician","Bassett Unified School District"
"Health Assistant ","Bassett Unified School District"
"Health Service Technician ","Bassett Unified School District"
"High School Assistant Principal - Curriculum and Instruction","Bassett Unified School District"
"High School Assistant Principal - Pupil Personnel Services ","Bassett Unified School District"
"High School Counselor","Bassett Unified School District"
"High School Principal","Bassett Unified School District"
"Instructional Assistant","Bassett Unified School District"
"Program Specialist ","Bassett Unified School District"
"School Nurse ","Bassett Unified School District"
"School Office Assistant","Bassett Unified School District"
"School/Community Relations Assistant ","Bassett Unified School District"
"Secondary Teacher (9-12)","Bassett Unified School District"
"Secretary II","Bassett Unified School District"
"Speech and Language Specialist","Bassett Unified School District"
"Vice Principal","Bassett Unified School District"
"Accounting Assistant","Bellflower Unified School District"
"Assistant Superintendent - Educational Services","Bellflower Unified School District"
"Case Manager","Bellflower Unified School District"
"Child Welfare Attendance Officer","Bellflower Unified School District"
"Community Services Coordinator","Bellflower Unified School District"
"Coordinator of Educational Services","Bellflower Unified School District"
"Counseling Technician","Bellflower Unified School District"
Counselor,"Bellflower Unified School District"
"Director of State and Federal Projects","Bellflower Unified School District"
"Elementary Assistant Principal","Bellflower Unified School District"
"Elementary Principal","Bellflower Unified School District"
"Employment Training Specialist","Bellflower Unified School District"
"Healthy Start Coordinator","Bellflower Unified School District"
"High School Assistant Principal (7-12)","Bellflower Unified School District"
"High School Principal","Bellflower Unified School District"
"MAA Coordinator","Bellflower Unified School District"
"Parenting Education Specialist","Bellflower Unified School District"
Principal,"Bellflower Unified School District"
"Program Administrator","Bellflower Unified School District"
"Program Specialist","Bellflower Unified School District"
"Site Coordinator/District Psychologist","Bellflower Unified School District"
"Teacher on Special Assignment","Bellflower Unified School District"
"Administrative Assistant I","Bonita USD"
"Assistant Principal - High School","Bonita USD"
"Assistant Principal - Middle School","Bonita USD"
"Assistant Superintendent - Business Services","Bonita USD"
"Assistant Superintendent, Educational Services","Bonita USD"
"Athletic Trainer","Bonita USD"
"Clerk III","Bonita USD"
"Clerk - Health","Bonita USD"
"Clerk High School Attendance","Bonita USD"
"Clerk Middle School Attendance","Bonita USD"
"Clerk Typist II","Bonita USD"
"Clerk Typist III","Bonita USD"
"Coordinator of School Age Care","Bonita USD"
"Coordinator - Special Education","Bonita USD"
"Dean of Student Services, Attendance and Discipline","Bonita USD"
"Director Student Support Services/Vocational Education","Bonita USD"
"District Nurse","Bonita USD"
"Elementary School Principal","Bonita USD"
"High School Principal","Bonita USD"
"Middle School Principal","Bonita USD"
Nurse,"Bonita USD"
"Preschool Site Supervisor","Bonita USD"
"Program Specialist","Bonita USD"
Psychologist,"Bonita USD"
"School Age Care Site Supervisor ","Bonita USD"
"School Resource Officer","Bonita USD"
"Secretary I","Bonita USD"
"Secretary II","Bonita USD"
"Senior Director of Fiscal Services","Bonita USD"
"Senior Director of Special Education","Bonita USD"
"Senior Director, Student Support Services","Bonita USD"
"Speech-Language and Hearing Specialist, K-12","Bonita USD"
"Speech-Language Pathologist Assistant (SLPA)","Bonita USD"
"Student Services Coordinator","Bonita USD"
"Administrative Assistant","Calexico Unified School District"
"Clerk Typist","Calexico Unified School District"
"Director of Special Education","Calexico Unified School District"
"Eligibility Worker I - SAWS","Calexico Unified School District"
"Family Resource Center (FRC) Coordinator","Calexico Unified School District"
"Health Clerk","Calexico Unified School District"
"Health Technician","Calexico Unified School District"
"Licensed Vocational Nurse","Calexico Unified School District"
"Office Assistant","Calexico Unified School District"
"Office Assistant II","Calexico Unified School District"
Psychologist,"Calexico Unified School District"
"School Nurse","Calexico Unified School District"
Secretary,"Calexico Unified School District"
"Social Worker/Case Manager","Calexico Unified School District"
"Speech Pathologist","Calexico Unified School District"
"Supervisor of Accounting","Calexico Unified School District"
"Administrative Assistant to the Director of Special Education and Pupil Personnel Services","Central Elementary School District"
"Coordinator of Special Education and Pupil Personnel Services","Central Elementary School District"
"Director, Special Education & Pupil Personnel Services","Central Elementary School District"
"Health Clerk","Central Elementary School District"
"School Counselor","Central Elementary School District"
"School Nurse","Central Elementary School District"
"School Psychologist","Central Elementary School District"
"Speech Therapist","Central Elementary School District"
"Typist Clerk II","Central Elementary School District"
"Account Clerk III","Central Unified School District"
"Adapted Physical Education Teacher","Central Unified School District"
"Administrative Secretary","Central Unified School District"
"Administrative/Supervisor/Guidance Dean","Central Unified School District"
"Child Development Resource Teacher","Central Unified School District"
"Clerical Assistant I","Central Unified School District"
"Clerical Assistant II","Central Unified School District"
"Coordinator of Special Education and Pupil Personnel Services","Central Unified School District"
Counselor,"Central Unified School District"
"Counselor - CLASS","Central Unified School District"
"Counselor, High School","Central Unified School District"
"Curriculum Assessment Technician","Central Unified School District"
"Director of Special Education/Support Services","Central Unified School District"
"District Resource Teacher - State/Federal Programs","Central Unified School District"
"ELD Resource Teacher","Central Unified School District"
"Elementary Counselor","Central Unified School District"
"Elementary School Resource Teacher","Central Unified School District"
"Evaluation, Assessment  & Research Technician","Central Unified School District"
"Evaluation, Assessment & Research Manager","Central Unified School District"
"Guidance Instructional Advisor","Central Unified School District"
"Health Services Aide","Central Unified School District"
"Occupational Therapist (Registered/Licensed)","Central Unified School District"
Principal,"Central Unified School District"
"Principal, Elementary School","Central Unified School District"
"Principal, Secondary School","Central Unified School District"
"Resource Teacher - Learning Handicapped","Central Unified School District"
"School Nurse","Central Unified School District"
"School Psychologist Inern","Central Unified School District"
"School Psychologist/District Psychologist","Central Unified School District"
"Site Resource Teacher","Central Unified School District"
"Special Day Class Teacher","Central Unified School District"
"Special Education Aide (OT GYM)","Central Unified School District"
"Special Education Classroom Teacher - Learning Handicapped","Central Unified School District"
"Special Education Program Specialist","Central Unified School District"
"Special Education Program Supervisor","Central Unified School District"
"Special Education Teacher - Speech and Language Disabled (Itinerant)","Central Unified School District"
"Superintendent ","Central Unified School District"
"Supervisor, Alternative Education","Central Unified School District"
"Supervisor, Child Welfare & Attendance","Central Unified School District"
"Track Leader","Central Unified School District"
"Transportation Specialist","Central Unified School District"
"Vice Principal","Central Unified School District"
"Vice Principal, Jr. High School","Central Unified School District"
"Vice Principal, Secondary School","Central Unified School District"
"Vocational Counselor","Central Unified School District"
"Vocational Counselor (CLASS)","Central Unified School District"
"Assistant Principal","Central Union High School District"
"Assistant Principal - Student Services","Central Union High School District"
"Cal-SAFE Coordinator","Central Union High School District"
Counselor,"Central Union High School District"
"Guidance Clerk","Central Union High School District"
"Health Services Coordinator/Nurse","Central Union High School District"
"Records Secretary","Central Union High School District"
"School Psychologist","Central Union High School District"
"Special Education Director/School Psychologist","Central Union High School District"
"Van Driver/Instructional Assistant","Central Union High School District"
"Administrative Assistant to the Assistant Superintendent - Student Services","Centralia ESD"
"Administrator of Special Services","Centralia ESD"
"Assistant Coordinator, Child Development","Centralia ESD"
"Assistant Principal","Centralia ESD"
"Assistant Superintendent ","Centralia ESD"
Audiologist,"Centralia ESD"
"Bilingual Instructional Assistant","Centralia ESD"
"Bilingual Translator/Tester","Centralia ESD"
"Child Care/Preschool Programs","Centralia ESD"
"Child Care/Preschool/School Readiness Initiative Program Coord","Centralia ESD"
"Clerical Specialist I","Centralia ESD"
"Clerical Specialist II","Centralia ESD"
"Clerical Specialist III","Centralia ESD"
"Clerical Specialist III/Clerk Typist II","Centralia ESD"
"Counselor Intern","Centralia ESD"
"Data Technician","Centralia ESD"
"Deaf and Hard of Hearing/Multiple Handicap (DHH/MH) Teacher","Centralia ESD"
"Elementary School Principal","Centralia ESD"
"Executive Assistant to the Superintendent","Centralia ESD"
"Executive Director, Instructional Support","Centralia ESD"
"Health Clerk","Centralia ESD"
"Healthy Start Site Facilitator","Centralia ESD"
"Language, Speech and Hearing Specialist","Centralia ESD"
"Office Manager - Special Services","Centralia ESD"
"Paid Administrative Intern","Centralia ESD"
"Parent and Community Liaison ","Centralia ESD"
"Preschool Assistant","Centralia ESD"
"Preschool Co-Instructor","Centralia ESD"
"Preschool Instructor","Centralia ESD"
Principal,"Centralia ESD"
"Program Improvement Coordinator II - Special Education","Centralia ESD"
"Psychologist Intern","Centralia ESD"
Receptionist,"Centralia ESD"
"Resource Specialist Teacher","Centralia ESD"
"School Counselor","Centralia ESD"
"School Nurse","Centralia ESD"
"School Office Manager","Centralia ESD"
"School Psychologist","Centralia ESD"
"School Readiness Clerk","Centralia ESD"
"School Readiness Initiative Coordinator","Centralia ESD"
"School Social Worker","Centralia ESD"
"School Social Worker/Outreach Consultant","Centralia ESD"
"Special Day Class Teacher","Centralia ESD"
"Special Education Audiologist","Centralia ESD"
"Speech and Language Specialist","Centralia ESD"
"Student Support and Community Liaison","Centralia ESD"
Superintendent,"Centralia ESD"
"Teacher - Deaf & Hard of Hearing Program","Centralia ESD"
"Administrative Secretary","Chaffey Joint Union HSD"
"Administrative Secretary/MAA Coordinator","Chaffey Joint Union HSD"
"Assistant Principal of Comprehensive High School","Chaffey Joint Union HSD"
"Assistant Superintendent, Alternative Ed.","Chaffey Joint Union HSD"
"Athletic Trainer/Equipment Manager","Chaffey Joint Union HSD"
"Attendance Clerk","Chaffey Joint Union HSD"
"Campus Security Officer","Chaffey Joint Union HSD"
"Career Guidance Technician","Chaffey Joint Union HSD"
"Clerical Specialist I","Chaffey Joint Union HSD"
"Clerical Specialist II","Chaffey Joint Union HSD"
"Clerical Specialist III","Chaffey Joint Union HSD"
"Clerical Specialist III/MAA Coordinator","Chaffey Joint Union HSD"
"Deputy Superintendent, Alternative Education","Chaffey Joint Union HSD"
"Director of Alternative Studies","Chaffey Joint Union HSD"
"Director of Child Welfare and Attendance","Chaffey Joint Union HSD"
"Director of Special Education","Chaffey Joint Union HSD"
"Guidance Technician","Chaffey Joint Union HSD"
"Guidance Technician/Clerical Specialist II","Chaffey Joint Union HSD"
"Health Services Assistant","Chaffey Joint Union HSD"
"Instructional Assistant - Special Education","Chaffey Joint Union HSD"
"Instructional Associate","Chaffey Joint Union HSD"
"Locker Room/Equip Attendant","Chaffey Joint Union HSD"
"Outreach Consultant (Dropout Prev.)","Chaffey Joint Union HSD"
"Outreach Consultant (Homeless)","Chaffey Joint Union HSD"
"Outreach Consultant (Substance Abuse)","Chaffey Joint Union HSD"
"Principal of Comprehensive High School","Chaffey Joint Union HSD"
"Special Education Records Specialist","Chaffey Joint Union HSD"
"Secretary I","Chaffey Joint Union HSD"
"Secretary II","Chaffey Joint Union HSD"
"Secretary III","Chaffey Joint Union HSD"
Superintendent,"Chaffey Joint Union HSD"
Switchboard/Receptionist,"Chaffey Joint Union HSD"
"Administrative Assistant","Charter Oak Unified"
"Assistant Superintendent Educational Services","Charter Oak Unified"
"Attendance Assistant","Charter Oak Unified"
"Director - Curriculum, Instruction and Assessment","Charter Oak Unified"
"Director - Enrichment and Child Development Programs","Charter Oak Unified"
"Director - Special Education","Charter Oak Unified"
"Director - Student Services","Charter Oak Unified"
"Director of Child, Welfare and Attendance and Secondary Education","Charter Oak Unified"
"Director of K-8 Education","Charter Oak Unified"
"Elementary School Assistant Principal","Charter Oak Unified"
"Elementary School Principal","Charter Oak Unified"
"Enrichment Program Site Supervisor","Charter Oak Unified"
"Food Service Computer Technician","Charter Oak Unified"
"Health Assistant","Charter Oak Unified"
"Health/Instructional Assistant","Charter Oak Unified"
"High School Assistant Principal","Charter Oak Unified"
"High School Counselor","Charter Oak Unified"
"High School Dean of Students","Charter Oak Unified"
"High School Office Manager","Charter Oak Unified"
"High School Principal","Charter Oak Unified"
"High School Vice Principal of Student Services","Charter Oak Unified"
"Intermediate School Assistant Principal","Charter Oak Unified"
"Intermediate School Principal","Charter Oak Unified"
"K-8 Counselor","Charter Oak Unified"
"Middle/High School Social Science Teacher","Charter Oak Unified"
"Office Assistant I","Charter Oak Unified"
"Office Assistant II","Charter Oak Unified"
"Office Assistant III","Charter Oak Unified"
"Principal - Alternative Schools","Charter Oak Unified"
"Principal Continuation School","Charter Oak Unified"
Psychologist,"Charter Oak Unified"
Registrar,"Charter Oak Unified"
"Resource Specialist Teacher ","Charter Oak Unified"
"Resource Specialist Teacher (9-12)","Charter Oak Unified"
"School Nurse","Charter Oak Unified"
"School Office Manager","Charter Oak Unified"
"SDC Preschool Teacher","Charter Oak Unified"
"Special Education Records Technician","Charter Oak Unified"
"Speech Therapist","Charter Oak Unified"
"Teacher of Educable Mentally Retarded","Charter Oak Unified"
"Adaptive Physical Education (P.E.) Specialist","Chino Valley Unified School District"
"Administrative Secretary I","Chino Valley Unified School District"
"Adult School/Boys Republic High School Principal","Chino Valley Unified School District"
"Assistant Principal Secretary","Chino Valley Unified School District"
"Assistant Superintendent, Business Services","Chino Valley Unified School District"
"Assistant Superintendent, Educational Services","Chino Valley Unified School District"
"Assistant Superintendent, Facilities and Planning","Chino Valley Unified School District"
"Asst. Superintendent, Student Support Services","Chino Valley Unified School District"
"Associate Superintendent, Educational Services","Chino Valley Unified School District"
"Associate Superintendent, Human Resources","Chino Valley Unified School District"
"Attendance Clerk","Chino Valley Unified School District"
"Bilingual Typist Clerk I","Chino Valley Unified School District"
"Billing Specialist","Chino Valley Unified School District"
"Boy's Republic High School Principal","Chino Valley Unified School District"
"Case Manager I & II","Chino Valley Unified School District"
"Chief School Psychologist","Chino Valley Unified School District"
"Child Development Manager","Chino Valley Unified School District"
"Child Development Program Technician","Chino Valley Unified School District"
"Children's Center Teacher","Chino Valley Unified School District"
"Classroom Teacher - Learning Handicapped/Special Day Class","Chino Valley Unified School District"
"Classroom Teacher - Severely Handicapped/Special Day Class","Chino Valley Unified School District"
"Community Day School Teacher","Chino Valley Unified School District"
"Community Services Specialist","Chino Valley Unified School District"
"Continuation High School Principal","Chino Valley Unified School District"
"Coordinator, Child Welfare & Attendance","Chino Valley Unified School District"
"Coordinator of Special Education  ","Chino Valley Unified School District"
"Coordinator of Special Programs and Services","Chino Valley Unified School District"
"Counseling Assistant","Chino Valley Unified School District"
Counselor,"Chino Valley Unified School District"
"Deputy Superintendent","Chino Valley Unified School District"
"Director of Alternative Education and Programs","Chino Valley Unified School District"
"Director of Categorical Programs","Chino Valley Unified School District"
"Director of Child Welfare and Attendance","Chino Valley Unified School District"
"Director of Health Services/Child Development","Chino Valley Unified School District"
"Director of Special Education","Chino Valley Unified School District"
"Director, Student Support Services","Chino Valley Unified School District"
"Director of Technology","Chino Valley Unified School District"
"District Attendance Aide I","Chino Valley Unified School District"
"District Attendance Liaison","Chino Valley Unified School District"
"District Secretary","Chino Valley Unified School District"
"Elementary Assistant to the Principal","Chino Valley Unified School District"
"Elementary Principal","Chino Valley Unified School District"
"Grant Program Support Specialist","Chino Valley Unified School District"
"Head Teacher - Children's Center","Chino Valley Unified School District"
"Health Technician","Chino Valley Unified School District"
"High School Assistant Principal","Chino Valley Unified School District"
"High School Counselor","Chino Valley Unified School District"
"High School Dean of Students","Chino Valley Unified School District"
"High School Intervention Counselor","Chino Valley Unified School District"
"High School Principal","Chino Valley Unified School District"
"Instructional Aide/Special Education","Chino Valley Unified School District"
"Interpreter-Hearing Impaired","Chino Valley Unified School District"
"Junior High Principal","Chino Valley Unified School District"
"Junior High School Assistant Principal","Chino Valley Unified School District"
"Junior High School Intervention Counselor","Chino Valley Unified School District"
"Occupational Therapist","Chino Valley Unified School District"
"Outreach Advisor","Chino Valley Unified School District"
"Program Specialist - Special Education","Chino Valley Unified School District"
"Program Specialist (Teacher on Assignment)","Chino Valley Unified School District"
Psychologist,"Chino Valley Unified School District"
"Public Health Nurse","Chino Valley Unified School District"
"Reading and Technology Specialist/Special Education","Chino Valley Unified School District"
"Resource Specialist","Chino Valley Unified School District"
"Resource Teacher","Chino Valley Unified School District"
"School Community Liaison/Bilingual-Spanish","Chino Valley Unified School District"
"School Nurse","Chino Valley Unified School District"
"School Secretary I","Chino Valley Unified School District"
"School Secretary II","Chino Valley Unified School District"
"Secondary Library/Media Center Assistant","Chino Valley Unified School District"
"Special Ed. Teacher, Adapted Physical Ed.-Dept. Chairperson Clerical","Chino Valley Unified School District"
"Special Education Teacher, Adapted Physical Education","Chino Valley Unified School District"
"Speech Therapist","Chino Valley Unified School District"
"Speech-Language Pathology Assistant","Chino Valley Unified School District"
Superintendent,"Chino Valley Unified School District"
"Testing Aide/Bilingual-Biliterate","Chino Valley Unified School District"
"Typist Clerk I","Chino Valley Unified School District"
"Typist Clerk II","Chino Valley Unified School District"
"Associate Principal","Chula Vista Elementary School District"
"Clerk I","Chula Vista Elementary School District"
"Clerk II","Chula Vista Elementary School District"
"Community Relations Liaison","Chula Vista Elementary School District"
"Coordinator of Pupil Services/Special Education","Chula Vista Elementary School District"
"Language, Speech and Hearing Specialist","Chula Vista Elementary School District"
"Occupational Therapist ","Chula Vista Elementary School District"
"Principal ","Chula Vista Elementary School District"
"Public Information Clerk II","Chula Vista Elementary School District"
"School Attendance Secretary/Health Specialist","Chula Vista Elementary School District"
"School Counselor","Chula Vista Elementary School District"
"School Nurse ","Chula Vista Elementary School District"
"School Psychologist","Chula Vista Elementary School District"
"School Secretary","Chula Vista Elementary School District"
"School Nurse Assistant","Coachella Valley Unified School District"
"Administrative Assistant I","Colton Joint Unified School District"
"Assistant Principal - Elementary ","Colton Joint Unified School District"
"Assistant Principal's Secretary, High School","Colton Joint Unified School District"
"Bilingual/ESL Instructional Assistant","Colton Joint Unified School District"
"CalSAFE Teacher","Colton Joint Unified School District"
"Classroom Teacher","Colton Joint Unified School District"
"Community Liaison","Colton Joint Unified School District"
"Counselor, High School","Colton Joint Unified School District"
"Counselor's Secretary - High School","Colton Joint Unified School District"
"CSP School Psychologist","Colton Joint Unified School District"
"Curriculum Program Specialist - Health Services","Colton Joint Unified School District"
"Director I, IEP Facilitator and Trainer","Colton Joint Unified School District"
"Director I, Special Education","Colton Joint Unified School District"
"Director II, Health Services, DATE, Medi-Cal, and Cal-SAFE ","Colton Joint Unified School District"
"Director II, Student Services and Safety","Colton Joint Unified School District"
"Director III, Administrative Services","Colton Joint Unified School District"
"Director III, Pupil Personnel Services","Colton Joint Unified School District"
"Director of Child Development Programs","Colton Joint Unified School District"
"Drug, Alcohol, and Tobacco Education Counselor","Colton Joint Unified School District"
"Elementary Assistant Principal","Colton Joint Unified School District"
"Elementary Principal","Colton Joint Unified School District"
"Elementary School Counselor","Colton Joint Unified School District"
"Enrollment Center Specialist","Colton Joint Unified School District"
"Fiscal Analyst","Colton Joint Unified School District"
"Health Assistant","Colton Joint Unified School District"
"High School Counselor","Colton Joint Unified School District"
"Language, Speech and Hearing Therapist","Colton Joint Unified School District"
