CCODE,JOB_CLASS_ID,JOB_CLASS
AN,23480,"Clerk Typist, Supervising"
AN,,Clerk Typist/Att. Clerk
AN,23479,Clerk Typist/BL
AN,,Community Coordinator Program Assistant
AN,,Community Coordinator-Program Assistant
AN,,Community Relation
AN,23485,Community Relations Assistant I
AN,,Coordinator
AN,23491,Coordinator - Programs for Exceptional Children
AN,23492,"Coordinator - Student, Family & Community Services"
AN,,Coordinator Certificated
AN,,"Coordinator, Community and Engagement"
AN,,Coordinator-Student Placement
AN,23500,Counselor
AN,,District Parent Advisory Specialist
AN,23505,Executive Director
AN,,Executive Officer
AN,23512,Health Assistant
AN,,Liason Family Parent
AN,,Network Executive Officer
AN,,OUTREACH CONSULTANT
AN,23521,Occupational Therapist
AN,23522,Office Manager
AN,23524,Outreach Consultant
AN,,Outreach Counselor
AN,,PRINCIPAL ELEMENTARY LARGE
AN,,PROGRAM SPECIALIST
AN,23525,Physical Therapist
AN,23526,Principal
AN,,Prinicipal
AN,,Prog Manager
AN,,Program Manager - School-Based Health Centers
AN,,Program Manager After School
AN,,Program Manager MAA/LEA
AN,,"Program Manager, Translation Services"
AN,23535,Program Specialist
AN,,Psychologist
AN,23536,Receptionist
AN,,Retired Certificated Administrator
AN,,SCHOOL PSYCHOLOGIST
AN,,SLP
AN,,SPECIALIST
AN,,SPEECH    PATHOLOGIST
AN,,SPEECH LANGUAGE THERAPIST
AN,,SPTH/PROGRAM SPECIALIST
AN,,STUDENT ASSIGNMEMENT SPEC
AN,,School Counselor
AN,23539,School Nurse
AN,23540,School Psychologist
AN,,School Psychologist 
AN,23543,School Secretary
AN,,Secretary
AN,23546,Senior Clerk Typist
AN,,Senior Typist Clerk
AN,23547,Site Administrator
AN,,Site Administrator 
AN,23548,Site Administrator - Early Childhood Education Center
AN,,Social Worker
AN,,Special Ed school nurse
AN,,Specialist
AN,,Specialist-Student Engagement
AN,,Specialist-Testing & Placement
AN,,Speech & Language Pathologist
AN,,Speech Language Pathologist
AN,,Speech Pathologist
AN,,Speech Therapist
AN,,Speech Therapist Assistant
AN,,Speech and Language Specialist
AN,23552,Speech-Language Pathologist
AN,,Sr Clk Typist
AN,23554,Student Attendance Compliance Officer
AN,,Teacher Structured Eng Immersn
AN,,Teacher on Special Assignment
AN,,Testing Clerk Bilingual
AN,,Translation Specialist
AN,,Translation specialist
AN,,Translator
AN,,Typist Clerk
AN,,ZADAI0017
AN,,case manager
AN,,com coordinator
AN,,health assistant
AN,,occupational therapist
AN,,senior clerk typist
AN,,site administrator
AT,24268,Health Technician
AT,,Health Technician 
AT,,Interim Coordinator of Student Health
AT,24274,Occupational Therapist
AT,,Psychologist
AT,24278,School Nurse
AT,,School Nurse 
AT,24281,School Psychologist
AT,,Sp. Ed. Program Manager
AT,,Special Ed Program Manager
AT,24283,Special Education Program Manager
AT,24286,Staff/School Secretary IV
AT,,Vis. Impaired Tchr
AT,24289,Visually Impaired Teacher
AT,,school nurse
BA,,Assistant Director-Student Services
BA,21592,Audiologist
BA,,BILINGUAL SPECIALIST
BA,21593,Bilingual Specialist
BA,,COMMUNITY LIASON
BA,,Community Liaison School Worker
BA,21596,Community Outreach Specialist II
BA,,"Coordinator,Special Education"
BA,21598,Health Assistant
BA,,Health assistant
BA,21599,"Nurse, K-12 Schools"
BA,,"Nurse,K-12 Schools"
BA,,Program Specialist- Special Education/supervisor
BA,,Program Specialist-Special Education/Supervisor
BA,,Program Supervisor
BA,,Program Supervisor Specialist
BA,21603,Psychologist
BA,,SCHOOL COMMUNITY LIAISON WORKER
BA,,School  Community Liaison Worker
BA,21604,School Community Liaison Worker
BA,,School Community Liaison Worker 
BA,,School Community Liaison-Vietnamese
BA,,School Community Liason Worker
BA,,School Community liaison worker
BA,,School Nurse
BA,,School Psychologist
BA,,School community liaison worker
BA,,School/Community Liaison - Vietnamese
BA,21606,Secretary II
BA,,Speech & Language Pathologist
BA,,Speech Pathologist
BA,21608,Speech and Language Pathologist
BA,,Speech lanaguage pathologist
BA,,Speech-Language Pathologist
BA,,Speech-Language Pathologist 
BA,,Speech/Language Pathologist
BA,,Supervisor
BA,,TRANSLATOR/INTERPRETER
BA,,Translator
BA,,Translator/Intepreter
BA,,Translator/Interpreter
BA,,Translator/Interpreter 
BA,,Translator/Interpreter Spanish
BA,,bilingual specialist
BA,,health assistant
BA,,program supervisor
BA,,psychologist
BA,,school community liaison worker
BA,,speech and language pathologist
BB,22592,Adapted Physical Education Teacher
BB,22593,Administrative Assistant
BB,22608,"Coordinator, Special Education"
BB,,Counselor
BB,22609,"Counselor, School"
BB,,Principal
BB,,"Principal, Elementary"
BB,22620,School Nurse
BB,22621,School Psychologist
BB,,Speech & Language Specialist
BB,,Speech And Language Specialist
BB,22624,Speech and Language Specialist
BB,22626,Student Health Assistant
BB,,Student Health Assistant 
BB,,Teacher on Special Assignment
BC,,"Assistant  Principal, Middle School"
BC,,Assistant Principal
BC,,Assistant Principal Middle School
BC,21624,"Assistant Principal, Elementary School"
BC,,"Assistant Principal, Middle High School"
BC,21625,"Assistant Principal, Middle School"
BC,21626,"Assistant Principal, Senior High School"
BC,,Assistant Principal. Senior High School
BC,21628,Assistive Technology Specialist
BC,,"Associate Principal, High School"
BC,21629,"Associate Principal, Senior High School"
BC,,"Coordinator 1, Health Services"
BC,,"Coordinator 111, Special Education"
BC,21645,Integrated Social Services Supervisor
BC,21647,Occupational Therapist
BC,,"Principal,  Elementary School"
BC,21648,"Principal, Elementary School"
BC,,"Principal, High School"
BC,21649,"Principal, Middle School"
BC,21650,"Principal, Senior High School"
BC,,"Principal, elementary school"
BC,21652,Psychologist
BC,21653,School Nurse
BC,,"School Nurse, Special Education"
BC,,School Psychologist
BC,21655,Secondary School Counselor
BC,,Speech & Language Hearing Specialist
BC,,Speech & Language Hearing Specialist Elementary
BC,,"Speech & Language Hearing Specialist, Elementary"
BC,,"Speech & Language Hearing Specialist, Middle"
BC,,"Speech & Language Hearing Specialist, Secondary"
BC,,"Speech & Lanugage Hearing Specialist, Elementary"
BC,,"Speech and Language Hearing Specialist, Elementary"
BC,,"Speech and Language Hearing Specialist, Secondary"
BC,,Speech and Language Specialist
BC,,"Speech, Language, Hearing Specialist secondary"
BC,,"Speech, Language, Hearing Specialist, Elementary "
BC,,"Speech, Language, Hearing Specialist,Elementary"
BC,,Speech-Language & Hearing Specialist-Elementary
BC,,"Speech-Language and Hearing Specialist, Elementary"
BC,,Teacher Specialist Special Education Program
BC,,"Teacher Specialist, Elementary"
BC,21659,"Teacher Specialist, Elementary School"
BC,,"Teacher Specialist, High School"
BC,,"Teacher Specialist, Secondary"
BC,,"Teacher Specialist, Special Ed Program"
BC,,"Teacher Specialist, Special Ed."
BC,,"Teacher Specialist, Special Education"
BC,21662,Typist Clerk II
BC,,"Typist Clerk, II"
BC,,"assistant principal, high school"
BC,,principal special education
BC,,school nurse
BC,,school psychologist
BC,,secondary school counselor
BC,,"speech and language hearing specialist, elementary"
BC,,typist clerk II
BD,,Assistant Director SELPA
BD,24794,Assistant Superintendent
BD,24795,Behavior Intervention Specialist
BD,,Executive Assistant
BD,,"Executive Assistant, SELPA"
BD,24800,Occupational Therapist
BD,,Occupational Therapist 
BD,24801,Office Technician
BD,24802,Physical Therapist
BD,,Principal
BD,,Program Analyst/Secretary
BD,24804,"Program Manager, Special Education"
BD,24805,Program Specialist
BD,24806,Psychologist
BD,24811,SELPA Coordinator
BD,24812,SELPA Fiscal Analyst
BD,24808,School Nurse
BD,,School Psychologist
BD,24810,"Senior Director, Special Education"
BD,,Speech & Language Therapist
BD,,Speech/Language Therapist
BD,,principal
BE,24062,Account Clerk I
BE,,INTERMEDIATE CLERK
BE,,Intermediate Clerk
BE,24109,Prevention Assistant
BE,24094,Principal - Special Education
BE,,"Principal, Special Education "
BE,,Principal/Program Specialist Special Education
BE,24079,Program Manager - Special Education
BE,,"Program Manager, Health Services"
BE,,"Program Manager, Special Education"
BE,24095,Program Specialist - Special Education
BE,,Program Specialist -Special Education
BE,24083,Psychologist
BE,24096,Resource Specialist Teacher
BE,,SCHOOL NURSE
BE,,School & Community Prevention Specialist
BE,,School Community Intervention Spec. I
BE,,School Community Intervention Specialist
BE,,School Community Intervention Specialist 
BE,,School Community Intervention Specialist 1
BE,,School Community Intervention Specialist I
BE,,School Community Intervention Specialist I 
BE,,School Community Intervention Specialist II
BE,,School Community Intervetion Specialist
BE,,School Community Intevention Specialist I
BE,,School Community Worker
BE,24084,School Nurse
BE,,School Psychologist
BE,,School and Community Intervention Specialist II
BE,,School community worker
BE,,School nurse
BE,,School psychologist
BE,,School/Community Intervention Specialist I
BE,24087,Secretary
BE,,Special Ed Program Specialist
BE,,"Supervisor, Intervention & Prevention Programs"
BE,24113,"Supervisor, Intervention/Prevention Programs"
BE,,"Supervisor, Intervention/prevention Program"
BE,,"Supervisor, Prevention/intervention Programs"
BE,,psychologist
BE,,school community intervention specialist
BE,,school community worker
BE,,school nurse
BE,,school psychologist
BE,,supervisor of prevention& intervention program
BF,23171,Administrative Secretary II
BF,23173,Adult Education Teacher - Parent Education Program
BF,,Child Welfare & Attendance Field Worker
BF,,"Coordinator, Child Welfare & Attendance"
BF,,"Coordinator, Pupil & Community Svcs"
BF,,Director II - Special Education
BF,23191,Director II of Health Services
BF,,"Director II, Pupil Resources"
BF,,"FACILITATOR, COMMUNITY VOLUNTEERS"
BF,,Health  Services Assistant
BF,,Health Service Assistant
BF,23199,Health Services Assistant
BF,,Health Services Assistant 
BF,,Health Services Assistant (sub)
BF,,Health Services assistant
BF,,Intervention Specialist
BF,,Language - Speech Spec. 
BF,,"Program Administrator, Parent Involvement & Community Engagement"
BF,,"Program Administrator, Special Education"
BF,,Program Administrator-Special Education
BF,,Program Adminstrator - Special Education
BF,,Program Assistant-Health Services & Programs
BF,,Psychologist
BF,,SCHOOL NURSE
BF,,SLP
BF,,School Nurse
BF,,School Nurse                        
BF,23218,School Psychologist
BF,,Secretary 1
BF,23219,Secretary I
BF,23220,Secretary II
BF,,Speech Language Pathologist Assistant
BF,,Speech Language Pathology Assistant
BF,23226,Speech Specialist
BF,,Teacher Specialist (Program Specialist) Special Education
BF,,Teacher Specialist - Special Education
BF,,Teacher Specialist - Special Education 
BF,23230,Typist Clerk II
BF,,health services assistant
BF,,school nurse
BF,,school psychologist
BF,,speech specialist
BI,," Principal, Special Education"
BI,,"Administrator, Nonpublic School"
BI,,Alternative Ed. Tech
BI,,Assistant Principal
BI,,"Assistant Principal, Alternative Education"
BI,,Assistant Superintndent
BI,,Assistant Superintndent for Business
BI,,Audiologist
BI,,Clean & Sober Counselor
BI,,Counselor
BI,,Dean of Students
BI,,Director of Student Services
BI,,"Director, Alternative Education/MAA Coordinator"
BI,,"Director, Special Education Instructional Programs"
BI,,District School Nurse
BI,,Elementary Principal
BI,,Elementary School Principal
BI,,Mental Health Counselor
BI,,"Permit Teacher, Cal-SAFE"
BI,,Principal
BI,,"Principal, Special Education"
BI,,Principal/Teacher
BI,,Program Director
BI,,RSP teacher
BI,,Resource Specialist
BI,,Resource Specialist Program
BI,,Resource Specialist Teacher
BI,,Resource Specialist teacher
BI,,Resource Specialist/Program Specialist
BI,,SDC
BI,,School Counselor
BI,,School Nurse
BI,,School Psych
BI,,School Psychologist
BI,,Special Education (RSP) Teacher / MAA Coordinator
BI,,Special Education/SDC Teacher
BI,,Special Education/Special day Class Teacher
BI,,Speech Therapist
BI,,Superintendent
BI,,Superintendent-Principal
BI,,Teacher
BI,,"Teacher, Cal-SAFE"
BI,,"Teacher, Court and Community School"
BI,,principal
BI,,school nurse
BI,,school psychologist
BI,,special education/SDC teacher
BI,,teacher
BI,,teacher court and community school
BK,," Principal, Elementary School"
BK,24291,Area Administrator
BK,,Assisstant Principal
BK,,Assistant Principal
BK,,Assistant Principal 
BK,,"Assistant Principal , High School"
BK,,Assistant Principal High School
BK,,Assistant Principal Student Services
BK,,"Assistant Principal, Elementary"
BK,24292,"Assistant Principal, Elementary School"
BK,24293,"Assistant Principal, High School"
BK,24295,"Assistant Principal, Middle School"
BK,,"Assistant Principal, high school- students"
BK,,"Assistant Principal, middle school"
BK,,"Assistant Principal,Middle School"
BK,,Certificated school nurse
BK,24297,Child Care Provider
BK,24299,Community Aide
BK,,Community Liaison
BK,24301,Counselor
BK,24304,Credentialed School Nurse
BK,,Credentialed school nurse
BK,24305,Director of Special Education
BK,,Director of Student  Services
BK,,Healthy Start Coordinator
BK,,Healthy Start Liason
BK,,Learning Direction
BK,24314,Learning Director
BK,,Principal
BK,,"Principal , Elementary School"
BK,,"Principal, Elementary"
BK,24317,"Principal, Elementary School"
BK,,Program Clerk
BK,,Program Specialist Special Ed
BK,,Program Specialist- Special Education
BK,,Program Specialist-Special Education
BK,24319,Psychologist
BK,,School Psychologist
BK,24322,Secretary I
BK,24325,Social Work Specialist
BK,24327,Teacher
BK,,"assistant principal, high school"
BK,,case manager
BK,,child care provider
BK,,credentialed school nurse
BK,,learning director
BK,,parent involvement technician
BK,,program specialist special education
BK,,psychologist
BK,,school psychologist
BK,,teacher
BM,, School Psychologist
BM,23008,Case Manager
BM,,Case Manager Healthy Start
BM,,Clinical Social Worker
BM,,"Coordinator, Health Programs"
BM,23017,Data Control Clerk
BM,,Family Advocate Healthy Start
BM,,HEALTH CLERK
BM,23026,Health Assistant
BM,23027,Health Clerk
BM,,Nurse
BM,23033,Nurse Practitioner
BM,,Occupational Specialist - Special Ed.
BM,,Occupational Specialist Special Ed
BM,,Occupational Specialist-Special Education
BM,,Occupational Therapist
BM,,Occupational Therapist-Consultant
BM,,Program Assistant/MAA Coordinator Assistant
BM,23040,Program Coordinator - Healthy Start
BM,,Program Coordinator Healthy Start
BM,23043,Program Specialist - Special Education
BM,,School Nurse
BM,23048,School Psychologist
BM,,Speech Language Pathologist
BM,23055,Speech Therapist
BM,,Speech-Language Pathologist
BM,23056,Substance Abuse Intervention Specialist
BM,23059,Teacher on Special Assignment
BM,,case manager healthy start
BM,,health clerk
BO,, Director Special Education 
BO,, Preschool Site Supervisor
BO,,Administrative Assistant
BO,,Assistant Principal
BO,21462,Assistant Principal - Middle School
BO,,Assistant Supintendant of Educational Service
BO,,Clerk Typist 11
BO,21470,Clerk Typist II
BO,21471,Clerk Typist III
BO,,Director of Student Support Services/Vocational Education 
BO,21476,District Nurse
BO,,Elementary Principal
BO,,Elementary-Assitant Prinipal
BO,,Health Clerk
BO,,High School -Assistant Principal
BO,,High School Assitant Principal
BO,21478,High School Principal
BO,,Management-School Psychologist
BO,,Principal
BO,,Principal-Elementary
BO,,Principal-High School
BO,,School Nurse
BO,,School Psychologist
BO,,School Secretary II
BO,21487,Secretary II
BO,,Secretary lV
BO,,Speech Language Pathology Assistant
BO,,Speech and Language Pathology Assistant
BO,,Speech-Language & Hearing Specialist
BO,,"Speech-Language & Hearing Specialist, Pre-12"
BO,,Speech-Language And Hearing Specialist K-12  
BO,,Speech-Language and Hearing Specialist K-12 
BO,,Speech-Language and Hearing Specialist K-12  
BO,,Speech-Language and Hearing Specialist PK-12 
BO,21491,"Speech-Language and Hearing Specialist, K-12"
BO,,Speech-Laugage Patholist Assistant
BO,,Speech-language pathologist
BO,,Student Service Coordinator
BO,,Student Service Coordinator 
BO,21493,Student Services Coordinator
BO,,Student Services Coordinator 
BO,,health clerk
BO,,school psychologist
BO,,student service coordinator
BO,,student services coordinator- High School
BP,,Assist. Principal IV
BP,,Assistant Principal
BP,,Assistant Principal 
BP,,Assistant Principal I
BP,,Assistant Principal II
BP,24643,Assistant Principal III
BP,24644,Assistant Principal IV
BP,,Assistant Principall III
BP,,Assistant Principall IV
BP,24645,Assistant Superintendent of Support Services
BP,,Assistant Superintent of Support Services
BP,,Coordinator Special Education
BP,,Coordinator Special Education Services
BP,,Coordinator of Psychological Services
BP,,Coordinator of Student Activities
BP,24654,Counselor
BP,24658,Early Childhood Education Coordinator
BP,,Higher Education Coordinator
BP,24662,Occupational Therapist
BP,,Occupational Therapist Assistant
BP,,Outreach Consultant
BP,,Outreach Resource Specialist
BP,,Outreach Specialist
BP,,Principal
BP,,Principal 
BP,,Principal I
BP,,Principal II
BP,24665,Principal III
BP,24666,Principal IV
BP,,Principall II
BP,,Principall III
BP,,Program Specialist
BP,,Program Specialist 
BP,,Program Specialist Health Services
BP,,Program Specialist Special Education
BP,24672,School Nurse
BP,,School Nurse 
BP,24675,School Psychologist
BP,24679,Senior Director of Pupil Support Services
BP,,Speech & Language Pathologist
BP,,Speech Language Specialist
BP,,Speech and Language Pathogist
BP,24682,Speech and Language Pathologist
BP,,Speech and Language Specialist
BP,,Speech and Language Therapist
BP,,Speech and Lanugage Pathologist
BP,,Speech-Language Pathologist
BP,,Speech-Language Specialist
BP,24683,Speech/Language Specialist
BP,,Teacher/Counselor Intern
BP,,Vision
BP,,Vision Specialist
BP,,
BR,22537,Community Liaison
BR,22539,Health Assistant
BR,,Health assistant
BR,22540,School Nurse
BR,22541,School Psychologist
BR,,Speech Hearing and Language Specialist
BR,,Speech Language and Hearing Therapist
BR,,"Speech, Hearing, and Language Specialist"
BR,,"Speech, Language and Hearing Specialist"
BR,,"Speech, Language, and Hearing Specialist"
BR,,Speech-Language Hearing Specialist
BR,,health assistant
BR,,heath assistant
BT,,Administrative Assistant I
BT,,Alternative Education Teacher / Special Education
BT,,Assistant Superintendent
BT,,CDS - Payment Program Tech
BT,,CDS Technician
BT,,Child Development Office Assistant
BT,,Child Development Service Clerk
BT,,Child Development Service Receptionist
BT,,Child Development Service Specialist
BT,,Child Development Services Clerk
BT,21832,Child Development Services Technician
BT,,Child Development Technician
BT,,Deaf and Hard of Hearing Teacher
BT,,Early Care and Education Specialist
BT,22918,Guidance Technician
BT,,Guidance Technician - Alternative Education
BT,,Health Assistant 11
BT,,Health Assistant II
BT,22926,Occupational Therapist
BT,,Office Manager
BT,,Principal
BT,,Probation Assistant
BT,,Program Manager
BT,,Program Manager Special Education
BT,22935,Program Specialist
BT,22942,Resource Specialist
BT,,SELPA Community Liaison
BT,,SH Teacher
BT,,School Nurse
BT,,School Psychologist
BT,,School psychologist
BT,,Senior Director
BT,,Severely Disabled Teacher
BT,,Severly Disabled Teacher
BT,,Special Ed Teacher
BT,,Special Education Teacher
BT,,Speech & Language Therapist
BT,,Speech and Language Therapist
BT,,Speech/Language Hearing Specialist
BT,,Speech/Language/Hearing Specialist
BT,,Student Well Being Student Assistant Represenative
BT,,Teacher Severely Handicap
BT,,Teacher Severely disabled.
BT,,Teacher for the Severely Handicapped
BT,,Teacher for the Visually Impaired 
BT,,Teacher severely disabled
BT,,Teacher-Deaf/Hard of Hearing
BT,,Teacher-Severely Disabled
BT,,Teacher-Severley Disabled
BT,,Teacher-Visually Impared
BT,,Teacher-severely disabled
BT,,probation assistant
BT,,school psychologist
BT,,speech and language therapist
BT,,teacher - severely disabled
BT,,teacher severly disabled
BU,,Counselor Intern Supervisor
BU,,Elementary Classroom Teacher - Educationally Handicapped And Learning Disabilty
BU,,Elementary Classroom Teacher - Educationally Handicapped and Learning Disabilty
BU,,Elementary Classroom Teacher-Educationally Handicapped and Learning Disability
BU,,Elementary Classroom Teacher-Educationally Handicapped and Learning Disabled
BU,,Elementary classroom teacher-educationally handicapped and learning disability
BU,,Principal
BU,,School Nurse
BU,,School Psychologist
BU,,Speech Hearing And Language Specialist 
BU,,Speech Hearing and Language Specialist
BU,,Speech and Language Specialist
BU,,Superintendent
BW,, ADMINISTRATIVE ASSISTANCE
BW,, ADMINISTRATIVE ASSISTANT
BW,, ADMINISTRATIVE ASSTISTANT
BW,," Counselor, Adult School"
BW,, Teacher Secondary Classroom
BW,," Therapist, speech"
BW,," teacher, secondary classroom"
BW,,ADMINISTRATIVE ASSISTANT
BW,,ADMINISTRATIVE SECRETARY
BW,,"ASSISTANT PRINCIPAL, High School"
BW,,"ASSISTANT PRINCIPAL, Middle School"
BW,,ASST PRIN-HIGH SCHOOL
BW,,ASST PRIN-STUDENT ACT
BW,,ATTENDANCE TECHNICIAN
BW,24842,Administrative Assistant
BW,,Administrative Sec
BW,24843,Administrative Secretary
BW,,Assistant Principal
BW,,Assistant Principal -High School
BW,,Assistant Principal Secretary
BW,24847,"Assistant Principal, High School"
BW,,"Assistant Principal, Middle  School"
BW,,"Assistant Principal, Middle Schoo"
BW,,"Assistant Principal, Middle School"
BW,,"Assistant Principal, Secondary"
BW,,"Assistant Principal, high school"
BW,,"Assistant Principal, middle school"
BW,,Assistant Principal/ASB Dean of Activities
BW,,"Assistant principal, high school"
BW,,"Assistant principal, middle school"
BW,,"Assitant Principal, High School"
BW,,Attendance Tech
BW,,COUNSELOR
BW,,"COUNSELOR, SECONDARY"
BW,,"COUNSELOR,SECONDARY"
BW,,COUNSELOR-SECONDARY
BW,,COUNSLELOR-SECONDARY
BW,,COUNSLR-SECONDY
BW,,Classroom Teacher
BW,,Coordinator Student Welfare and Attendance
BW,,Counselor
BW,,Counselor - Secondary
BW,,"Counselor, Secnodary"
BW,,"Counselor, Secondary"
BW,,"Counselor, Secondary "
BW,,"Counselor, secondary"
BW,,Independent Study High School at San Ysidro Site Coordinator
BW,,NURSE
BW,,Nurse
BW,,OFFICE ASSISTANT I
BW,,OFFICE ASSISTANT II
BW,,PRIN-HIGH SCHOOL
BW,,PROGRAM MANAGER
BW,,PSYCHOLOGIST
BW,,"Principal, Adult Education"
BW,,Psychologist
BW,,REGISTRAR
BW,24871,Registrar
BW,,SCHOOL COUNSELOR
BW,,SCHOOL NURSE
BW,,SENIOR OFFICE ASSISTANT
BW,,SPEECH LANGUAGE PATHOLOGIST
BW,24873,School Nurse
BW,,School PSYCHOLOGIST
BW,24874,School Psychologist
BW,,School nurse
BW,24875,Secondary Classroom Teacher
BW,24876,Secondary School Counselor
BW,,Secondary classroom Teacher
BW,24879,Senior Office Assistant
BW,24880,Special Education Teacher
BW,,Speech Langauage Pathologist
BW,,Speech Language Pathologist
BW,,Speech Therapist
BW,,TEACHER - SPECIAL ED.
BW,,"TEACHER, Secondary Classroom"
BW,,"TEACHER, Secondary classroom"
BW,,TEACHER-SECONDARY CLASSROOM
BW,,TEACHER-SPECIAL ED.
BW,,Teacher
BW,,Teacher Secondary
BW,,Teacher Secondary Classroom
BW,,"Teacher, Secondary"
BW,,"Teacher, Secondary Classroom"
BW,,"Teacher, Secondary classroom"
BW,,"Teacher, SpEd"
BW,,"Teacher, Special Education"
BW,,"Teacher, secondary classroom"
BW,,"Teacher, secondary classroom "
BW,,"Therapist, Speech"
BW,,"Therapist, speech"
BW,,"counselor, secondary"
BW,,counselor-secondary
BW,,school nurse
BW,,speech language pathologist
BW,,student program facilitator
BW,,teacher
BW,,"teacher, secondary classroom"
BW,,
CB,,Bus Mgr - MAA Corrdinator
CB,,Business Manager/MAA Coordinator
CB,,Full Inclusion Specialist
CB,,School Nurse
CH,,Adaptive Physical Education Teacher
CH,,Administrative Assistant/MAA Coordinator
CH,,Counselor
CH,,Day Care Supervisor
CH,,Day Care sub supervisor
CH,,Director - Enrichment & Child Development
CH,21096,Director - Special Education
CH,,Education Specialist
CH,,Educational Specialist Teacher - K-8
CH,,Elementary Assistant Principal
CH,21101,Elementary School Principal
CH,21102,Enrichment Program Site Supervisor
CH,,Guidance Counselor
CH,21104,Health Assistant
CH,21105,Health/Instructional Assistant
CH,21106,High School Assistant Principal
CH,21107,High School Counselor
CH,21112,Intermediate School Assistant Principal
CH,24506,K-8 Counselor
CH,,Middle School Principal
CH,21115,Office Assistant I
CH,21116,Office Assistant II
CH,24507,Office Assistant III
CH,,Office Manager
